LABELS
SEPARATOR TAB

DATA
20298_3_42	Alistipes shahii (0.053%)
UMGS724	Collinsella (0.0%)
UMGS1841	Collinsella (0.0%)
UMGS327	Collinsella (0.0%)
UMGS383	Collinsella (0.0%)
UMGS1779	Collinsella (0.002%)
UMGS588	Collinsella (0.0%)
UMGS972	Collinsella (0.004%)
UMGS1499	Collinsella (0.002%)
UMGS1401	Collinsella (0.0%)
UMGS1341	Collinsella (0.002%)
UMGS1022	Collinsella (0.0%)
UMGS741	Collinsella (0.0%)
UMGS511	Collinsella (0.0%)
UMGS1200	Collinsella (0.0%)
UMGS309	Collinsella (0.0%)
UMGS512	Collinsella (0.0%)
UMGS666	Collinsella (0.001%)
UMGS1336	Collinsella (0.003%)
UMGS1742	Collinsella (0.004%)
UMGS1935	Collinsella (0.001%)
UMGS425	Collinsella (0.001%)
UMGS1146	Collinsella (0.017%)
UMGS1139	Collinsella (0.001%)
UMGS1542	Collinsella (0.001%)
UMGS298	Collinsella (0.0%)
UMGS1969	Collinsella (0.007%)
UMGS653	Collinsella (0.001%)
UMGS643	Collinsella (0.005%)
UMGS1910	Collinsella (0.002%)
UMGS742	Collinsella (0.0%)
UMGS1094	Collinsella (0.0%)
UMGS1606	Collinsella (0.0%)
UMGS301	Collinsella (0.0%)
UMGS2006	Collinsella (0.0%)
UMGS1545	Collinsella (0.0%)
UMGS446	Collinsella (0.0%)
UMGS388	Collinsella (0.0%)
UMGS1376	Collinsella (0.0%)
UMGS443	Collinsella (0.001%)
UMGS450	Collinsella (0.002%)
UMGS876	Collinsella (0.0%)
UMGS704	Collinsella (0.0%)
UMGS325	Collinsella (0.001%)
UMGS788	Collinsella (0.0%)
UMGS877	Collinsella (0.001%)
UMGS582	Collinsella (0.0%)
UMGS382	Collinsella (0.0%)
UMGS644	Collinsella (0.0%)
UMGS334	Collinsella (0.001%)
UMGS485	Collinsella (0.003%)
UMGS481	Collinsella (0.0%)
UMGS1720	Collinsella (0.002%)
UMGS1277	Collinsella (0.006%)
UMGS284	Collinsella (0.0%)
UMGS1970	Collinsella (0.0%)
UMGS378	Collinsella (0.0%)
UMGS394	Collinsella (0.0%)
UMGS518	Collinsella (0.0%)
UMGS1638	Collinsella (0.003%)
UMGS641	Collinsella (0.0%)
UMGS2059	Collinsella (0.001%)
UMGS959	Collinsella (0.001%)
UMGS393	Collinsella (0.0%)
UMGS1100	Collinsella (0.0%)
UMGS825	Collinsella (0.0%)
UMGS639	Collinsella (0.0%)
UMGS919	Collinsella (0.003%)
UMGS390	Collinsella (0.0%)
UMGS1219	Collinsella (0.0%)
UMGS384	Collinsella (0.0%)
UMGS293	Collinsella (0.0%)
UMGS377	Collinsella (0.0%)
UMGS642	Collinsella (0.0%)
UMGS1282	Collinsella (0.001%)
UMGS714	Collinsella (0.001%)
UMGS1174	Collinsella (0.0%)
UMGS784	Collinsella (0.0%)
UMGS649	Collinsella (0.0%)
UMGS1417	Collinsella (0.001%)
UMGS1160	Collinsella (0.001%)
UMGS633	Collinsella (0.001%)
UMGS1928	Collinsella (0.008%)
UMGS1726	Collinsella (0.0%)
UMGS1586	Collinsella (0.002%)
UMGS1943	Collinsella (0.001%)
UMGS1767	Collinsella (0.0%)
UMGS2052	Collinsella (0.002%)
UMGS912	Collinsella (0.001%)
UMGS517	Collinsella (0.0%)
UMGS1816	Collinsella (0.003%)
UMGS1278	Collinsella (0.0%)
UMGS1721	Collinsella (0.006%)
UMGS1905	Collinsella (0.0%)
UMGS1967	Collinsella (0.0%)
UMGS1862	Collinsella (0.0%)
UMGS2047	Collinsella (0.0%)
UMGS817	Collinsella (0.0%)
UMGS1023	Collinsella (0.0%)
UMGS2029	Collinsella (0.005%)
UMGS1380	Collinsella (0.0%)
UMGS1421	Collinsella (0.004%)
UMGS1873	Collinsella (0.005%)
UMGS989	Collinsella (0.0%)
UMGS1386	Collinsella (0.0%)
UMGS640	Collinsella (0.0%)
UMGS428	Collinsella (0.0%)
UMGS674	Collinsella (0.0%)
UMGS1184	Collinsella (0.01%)
UMGS296	Collinsella (0.0%)
UMGS806	Collinsella (0.0%)
UMGS1530	Collinsella (0.0%)
UMGS315	Collinsella (0.0%)
UMGS310	Collinsella (0.0%)
UMGS1631	Collinsella (0.0%)
UMGS447	Collinsella (0.0%)
UMGS1480	Collinsella (0.005%)
UMGS751	Collinsella (0.0%)
UMGS850	Collinsella (0.002%)
UMGS430	Collinsella (0.001%)
UMGS645	Collinsella (0.0%)
UMGS1161	Collinsella (0.003%)
UMGS376	Collinsella (0.0%)
UMGS1082	Collinsella (0.0%)
UMGS1166	Collinsella (0.0%)
UMGS323	Collinsella (0.0%)
UMGS303	Collinsella (0.0%)
UMGS1186	Collinsella (0.0%)
UMGS1131	Collinsella (0.0%)
UMGS1546	Collinsella (0.001%)
UMGS448	Collinsella (0.0%)
UMGS1339	Collinsella (0.002%)
UMGS789	Collinsella (0.0%)
UMGS467	Collinsella (0.0%)
UMGS1465	Collinsella (0.011%)
UMGS1701	Collinsella (0.001%)
UMGS1853	Collinsella (0.003%)
UMGS716	Collinsella (0.0%)
UMGS312	Collinsella (0.0%)
UMGS1420	Collinsella (0.002%)
UMGS1483	Collinsella (0.001%)
UMGS1627	Collinsella (0.003%)
UMGS1117	Collinsella (0.0%)
UMGS790	Collinsella (0.002%)
UMGS386	Collinsella (0.0%)
UMGS1482	Collinsella (0.003%)
UMGS1026	Collinsella (0.001%)
UMGS1165	Collinsella (0.0%)
UMGS1409	Collinsella (0.002%)
UMGS545	Collinsella (0.0%)
UMGS1031	Collinsella (0.0%)
UMGS719	Collinsella (0.0%)
UMGS1920	Collinsella (0.0%)
UMGS104	Collinsella (0.0%)
UMGS396	Collinsella (0.0%)
UMGS1047	Collinsella (0.0%)
UMGS595	Collinsella (0.0%)
UMGS414	Collinsella (0.0%)
UMGS498	Collinsella (0.0%)
UMGS1220	Collinsella (0.0%)
UMGS316	Collinsella (0.0%)
UMGS1667	Collinsella (0.002%)
UMGS94	Collinsella (0.001%)
UMGS289	Collinsella (0.0%)
UMGS1497	Collinsella (0.0%)
UMGS1695	Collinsella (0.003%)
UMGS969	Collinsella (0.002%)
UMGS938	Collinsella (0.0%)
UMGS1919	Collinsella (0.003%)
UMGS1209	Collinsella (0.0%)
UMGS1982	Collinsella (0.0%)
UMGS322	Collinsella (0.002%)
UMGS1077	Collinsella (0.0%)
UMGS1743	Collinsella (0.001%)
UMGS820	Collinsella (0.0%)
UMGS585	Collinsella (0.0%)
UMGS1183	Collinsella (0.002%)
UMGS321	Collinsella (0.0%)
UMGS783	Collinsella (0.001%)
UMGS1300	Collinsella (0.0%)
UMGS429	Collinsella (0.001%)
UMGS804	Collinsella (0.001%)
UMGS1747	Collinsella (0.0%)
UMGS853	Collinsella (0.0%)
UMGS1207	Collinsella (0.0%)
UMGS1558	Collinsella (0.004%)
UMGS1763	Collinsella (0.0%)
UMGS587	Collinsella (0.0%)
UMGS441	Collinsella (0.001%)
UMGS651	Collinsella (0.0%)
UMGS1549	Collinsella (0.001%)
UMGS586	Collinsella (0.0%)
UMGS787	Collinsella (0.0%)
UMGS1262	Collinsella (0.001%)
UMGS375	Collinsella (0.0%)
UMGS616	Collinsella (0.0%)
UMGS1949	Collinsella (0.0%)
UMGS1442	Collinsella (0.0%)
UMGS1732	Collinsella (0.0%)
UMGS389	Collinsella (0.0%)
UMGS1597	Collinsella (0.0%)
UMGS1874	Collinsella (0.0%)
UMGS1834	Collinsella (0.0%)
UMGS1354	Collinsella (0.001%)
UMGS1508	Collinsella (0.001%)
UMGS1706	Collinsella (0.001%)
UMGS1173	Collinsella (0.002%)
UMGS1879	Collinsella (0.0%)
UMGS1424	Collinsella (0.0%)
UMGS427	Collinsella (0.0%)
UMGS878	Collinsella (0.0%)
UMGS1729	Collinsella (0.001%)
UMGS1936	Collinsella (0.0%)
UMGS305	Collinsella (0.001%)
UMGS299	Collinsella (0.0%)
UMGS955	Collinsella (0.0%)
UMGS1680	Collinsella (0.0%)
UMGS745	Collinsella (0.0%)
UMGS358	Collinsella (0.0%)
UMGS723	Collinsella (0.0%)
UMGS1190	Collinsella (0.008%)
UMGS888	Collinsella (0.0%)
UMGS1319	Collinsella (0.0%)
UMGS2064	Collinsella (0.0%)
UMGS1432	Collinsella (0.001%)
UMGS291	Collinsella (0.001%)
UMGS51	Collinsella (0.0%)
UMGS1835	Collinsella (0.0%)
UMGS1083	Collinsella (0.0%)
UMGS1842	Collinsella (0.001%)
UMGS1937	Collinsella (0.0%)
UMGS6	Enorma (0.0%)
UMGS1418	Atopobiaceae (0.001%)
UMGS304	Atopobiaceae (0.001%)
UMGS1080	Atopobiaceae (0.001%)
UMGS634	Atopobiaceae (0.0%)
UMGS2041	Atopobium_B (0.001%)
UMGS1817	Atopobium_B (0.001%)
UMGS1121	Olsenella_B (0.0%)
UMGS68	Olsenella (0.0%)
UMGS1887	Olsenella (0.002%)
UMGS380	Atopobiaceae (0.0%)
UMGS565	Libanicoccus (0.0%)
UMGS609	Libanicoccus (0.001%)
UMGS696	Libanicoccus (0.0%)
UMGS1564	Libanicoccus (0.0%)
UMGS1204	Libanicoccus (0.0%)
UMGS1780	Coriobacteriales (0.0%)
UMGS124	Coriobacteriales (0.0%)
UMGS26	CAG-1427 (0.0%)
UMGS468	CAG-1427 (0.001%)
UMGS235	CAG-1427 (0.006%)
UMGS1632	CAG-1427 (0.003%)
UMGS1046	CAG-1427 (0.006%)
UMGS675	CAG-1427 (0.004%)
UMGS1861	CAG-1427 (0.0%)
UMGS1991	CAG-1427 (0.003%)
UMGS1371	CAG-1427 (0.0%)
UMGS1142	CAG-1427 (0.0%)
UMGS1745	CAG-1427 (0.0%)
UMGS1948	CAG-1427 (0.0%)
UMGS165	CAG-1427 (0.0%)
UMGS854	CAG-1427 (0.003%)
UMGS431	Eggerthellaceae (0.002%)
UMGS1519	Eggerthellaceae (0.005%)
UMGS1502	Eggerthellaceae (0.0%)
UMGS479	Adlercreutzia (0.191%)
UMGS629	Eggerthellaceae (0.006%)
UMGS1254	Senegalimassilia (0.003%)
UMGS679	Senegalimassilia (0.004%)
UMGS1963	Gordonibacter (0.0%)
UMGS1381	Eggerthellaceae (0.001%)
UMGS1293	Eggerthellaceae (0.004%)
UMGS1773	Eggerthellaceae (0.005%)
UMGS1644	Slackia_A (0.0%)
UMGS1653	Slackia_A (0.003%)
UMGS1942	Slackia_A (0.0%)
UMGS1832	Slackia_A (0.005%)
UMGS11	Slackia_A (0.0%)
UMGS650	Coriobacteriales (0.0%)
UMGS1932	Coriobacteriales (0.001%)
UMGS928	Rothia (0.0%)
UMGS2071	Varibaculum (0.0%)
UMGS822	Actinomycetaceae (0.0%)
UMGS402	Actinomyces_B (0.0%)
UMGS1731	Actinomyces_B (0.0%)
UMGS1934	Actinomyces_B (0.001%)
UMGS1405	Bifidobacterium (0.001%)
UMGS194	Corynebacterium (0.0%)
UMGS116	CAG-313 (0.01%)
UMGS75	CAG-313 (0.006%)
UMGS1109	CAG-313 (0.0%)
UMGS940	CAG-307 (0.0%)
UMGS268	CAG-307 (0.002%)
UMGS221	CAG-307 (0.002%)
UMGS957	CAG-594 (0.0%)
UMGS855	CAG-433 (0.0%)
UMGS1383	CAG-762 (0.0%)
UMGS1402	CAG-914 (0.0%)
UMGS1618	CAG-914 (0.002%)
UMGS1185	CAG-302 (0.0%)
UMGS1081	CAG-302 (0.0%)
UMGS1739	CAG-302 (0.0%)
UMGS610	CAG-302 (0.0%)
UMGS2068	UBA660 (0.0%)
UMGS872	CAG-884 (0.0%)
UMGS1271	CAG-884 (0.001%)
UMGS841	CAG-822 (0.0%)
UMGS2016	UBA660 (0.004%)
UMGS688	UBA660 (0.0%)
UMGS900	UBA660 (0.001%)
UMGS1613	UBA660 (0.001%)
UMGS1045	UBA660 (0.0%)
UMGS2026	UBA660 (0.0%)
UMGS1498	UBA660 (0.0%)
UMGS1648	UBA660 (0.001%)
UMGS1149	CAG-628 (0.0%)
UMGS1658	CAG-628 (0.0%)
UMGS1892	CAG-1000 (0.003%)
UMGS1611	UBA660 (0.0%)
UMGS1172	CAG-776 (0.0%)
UMGS686	CAG-460 (0.0%)
UMGS1410	CAG-460 (0.0%)
UMGS910	CAG-460 (0.001%)
UMGS1217	UBA660 (0.0%)
UMGS735	CAG-605 (0.0%)
UMGS1573	UBA660 (0.0%)
UMGS1372	CAG-533 (0.001%)
UMGS1661	CAG-533 (0.0%)
UMGS1124	CAG-582 (0.0%)
UMGS1485	CAG-611 (0.0%)
UMGS1572	CAG-611 (0.003%)
UMGS1449	CAG-611 (0.0%)
UMGS1513	CAG-877 (0.0%)
UMGS1110	CAG-877 (0.004%)
UMGS1708	CAG-877 (0.0%)
UMGS1700	CAG-877 (0.001%)
UMGS532	CAG-877 (0.001%)
UMGS995	CAG-877 (0.0%)
UMGS592	CAG-988 (0.0%)
UMGS484	CAG-710 (0.001%)
UMGS1266	CAG-1193 (0.0%)
UMGS689	Ureaplasmataceae (0.0%)
UMGS1463	Mycoplasmatales (0.0%)
UMGS673	Erysipelatoclostridium (0.056%)
UMGS415	Erysipelatoclostridium (0.0%)
UMGS7	KLE1796 (0.001%)
UMGS269	Catenibacterium (0.15%)
UMGS270	Catenibacterium (0.137%)
UMGS1249	Beduini (0.0%)
UMGS2049	Merdibacter (0.0%)
UMGS524	Merdibacter (0.001%)
UMGS1141	CAG-536 (0.008%)
UMGS886	Faecalicoccus (0.001%)
UMGS1984	Holdemanella (0.507%)
UMGS1028	Holdemanella (0.288%)
UMGS695	Holdemanella (0.557%)
UMGS1468	Holdemanella (0.447%)
UMGS1017	Holdemanella (0.443%)
UMGS339	Holdemanella (0.307%)
UMGS503	Holdemanella (0.093%)
UMGS2048	Holdemanella (0.094%)
UMGS1844	Eubacterium_D (0.06%)
UMGS1	Eubacterium_D (0.0%)
UMGS1255	Eubacterium_D (0.003%)
UMGS1469	Eubacterium_D (0.004%)
UMGS367	Erysipelotrichaceae (0.017%)
UMGS1939	Erysipelotrichaceae (0.001%)
UMGS1737	Solobacterium (0.008%)
UMGS193	Erysipelotrichaceae (0.006%)
UMGS869	Erysipelotrichaceae (0.009%)
UMGS1248	CAG-826 (0.005%)
UMGS932	CAG-826 (0.0%)
UMGS153	CAG-826 (0.004%)
UMGS237	CAG-826 (0.0%)
UMGS482	CAG-826 (0.0%)
UMGS1337	CAG-826 (0.0%)
UMGS236	CAG-826 (0.001%)
UMGS1395	CAG-449 (0.02%)
UMGS1247	CAG-568 (0.001%)
UMGS171	CAG-568 (0.0%)
UMGS99	CAG-345 (0.001%)
UMGS732	CAG-288 (0.003%)
UMGS238	RFN20 (0.001%)
UMGS561	Sporolactobacillus (0.0%)
UMGS1922	Granulicatella (0.001%)
UMGS1414	Granulicatella (0.001%)
UMGS2028	Streptococcus (0.001%)
UMGS525	Streptococcus (0.0%)
UMGS867	Streptococcus (0.001%)
UMGS1347	Streptococcus (0.002%)
UMGS146	Streptococcus (0.001%)
UMGS1753	Leuconostoc (0.001%)
UMGS2022	Lactobacillus_H (0.0%)
UMGS258	Lactobacillus_C (0.0%)
UMGS122	Paenibacillus_B (0.0%)
UMGS1388	CAG-41 (0.001%)
UMGS1494	CAG-41 (0.002%)
UMGS1820	CAG-41 (0.001%)
UMGS755	CAG-41 (0.0%)
UMGS261	CAG-41 (0.0%)
UMGS1326	CAG-41 (0.001%)
UMGS1958	UBA1381 (0.003%)
UMGS1253	CAG-41 (0.001%)
UMGS1883	CAG-41 (0.001%)
UMGS1682	CAG-41 (0.0%)
UMGS821	CAG-41 (0.003%)
UMGS491	CAG-41 (0.001%)
UMGS1810	CAG-41 (0.001%)
UMGS2013	CAG-41 (0.0%)
UMGS964	Oscillospirales (0.001%)
UMGS1783	Oscillospirales (0.003%)
UMGS1002	CAG-272 (0.0%)
UMGS773	CAG-448 (0.003%)
UMGS1865	CAG-448 (0.005%)
UMGS1014	CAG-448 (0.001%)
UMGS1122	Firm-07 (0.001%)
UMGS1798	CAG-272 (0.003%)
UMGS902	CAG-272 (0.001%)
UMGS1696	CAG-272 (0.001%)
UMGS1312	CAG-272 (0.0%)
UMGS1815	CAG-272 (0.004%)
UMGS1955	CAG-272 (0.003%)
UMGS911	CAG-272 (0.0%)
UMGS824	CAG-272 (0.002%)
UMGS1332	CAG-272 (0.008%)
UMGS2055	CAG-272 (0.004%)
UMGS874	CAG-272 (0.0%)
UMGS1225	CAG-272 (0.003%)
UMGS1822	CAG-724 (0.002%)
UMGS660	CAG-724 (0.001%)
UMGS461	CAG-272 (0.001%)
UMGS1577	CAG-272 (0.005%)
UMGS923	CAG-272 (0.0%)
UMGS1492	CAG-272 (0.003%)
UMGS1362	CAG-272 (0.003%)
UMGS731	CAG-272 (0.0%)
UMGS875	Oscillospirales (0.003%)
UMGS2038	Oscillospirales (0.005%)
UMGS1307	CAG-382 (0.001%)
UMGS1715	CAG-382 (0.006%)
UMGS1387	Oscillospirales (0.003%)
UMGS1052	Oscillospirales (0.001%)
UMGS882	Oscillospirales (0.013%)
UMGS1532	DTU089 (0.002%)
UMGS1148	DTU089 (0.001%)
UMGS1222	DTU089 (0.0%)
UMGS738	DTU089 (0.002%)
UMGS976	DTU089 (0.026%)
UMGS974	DTU089 (0.001%)
UMGS1690	DTU089 (0.001%)
UMGS538	DTU089 (0.002%)
UMGS949	DTU089 (0.004%)
UMGS1722	DTU089 (0.001%)
UMGS1279	DTU089 (0.0%)
UMGS577	DTU089 (0.004%)
UMGS172	DTU089 (0.003%)
UMGS1484	DTU089 (0.008%)
UMGS1838	DTU089 (0.003%)
UMGS1976	DTU089 (0.001%)
UMGS968	CAG-217 (0.001%)
UMGS214	Eubacterium_R (0.002%)
UMGS135	Eubacterium_R (0.001%)
UMGS677	Eubacterium_R (0.0%)
UMGS127	Eubacterium_R (0.003%)
UMGS98	Eubacterium_R (0.002%)
UMGS508	Eubacterium_R (0.002%)
UMGS1050	Eubacterium_R (0.001%)
UMGS155	Eubacterium_R (0.015%)
UMGS177	Eubacterium_R (0.003%)
UMGS916	Eubacterium_R (0.001%)
UMGS133	Eubacterium_R (0.001%)
UMGS1027	Eubacterium_R (0.003%)
UMGS174	Eubacterium_R (0.001%)
UMGS233	Eubacterium_R (0.002%)
UMGS598	Eubacterium_R (0.001%)
UMGS1775	Eubacterium_R (0.014%)
UMGS2078	Eubacterium_R (0.001%)
UMGS213	DTU089 (0.017%)
UMGS905	DTU089 (0.003%)
UMGS837	DTU089 (0.006%)
UMGS1778	CAG-488 (0.002%)
UMGS136	CAG-488 (0.0%)
UMGS185	CAG-177 (0.002%)
UMGS186	CAG-177 (0.004%)
UMGS1867	DTU089 (0.001%)
UMGS555	DTU089 (0.001%)
UMGS1839	DTU089 (0.0%)
UMGS232	DTU089 (0.001%)
UMGS798	CAG-180 (0.001%)
UMGS234	CAG-180 (0.0%)
UMGS230	CAG-180 (0.001%)
UMGS1374	DTU053 (0.0%)
UMGS802	DTU089 (0.004%)
UMGS263	DTU089 (0.002%)
UMGS1566	DTU089 (0.001%)
UMGS1237	DTU089 (0.001%)
UMGS668	DTU089 (0.0%)
UMGS705	DTU089 (0.0%)
UMGS477	DTU089 (0.002%)
UMGS1397	DTU089 (0.003%)
UMGS1623	DTU089 (0.005%)
UMGS1591	DTU089 (0.004%)
UMGS856	DTU089 (0.008%)
UMGS1474	DTU089 (0.001%)
UMGS1487	DTU089 (0.002%)
UMGS1858	DTU089 (0.01%)
UMGS1802	DTU089 (0.036%)
UMGS1163	DTU089 (0.001%)
UMGS948	DTU089 (0.002%)
UMGS926	MS4 (0.0%)
UMGS1264	An200 (0.011%)
UMGS1735	UBA4871 (0.02%)
UMGS1898	DTU089 (0.017%)
UMGS1071	DTU089 (0.003%)
UMGS404	DTU089 (0.01%)
UMGS454	DTU089 (0.003%)
UMGS1212	UBA945 (0.004%)
UMGS581	Neglecta (0.002%)
UMGS1101	Neglecta (0.013%)
UMGS553	Neglecta (0.003%)
UMGS1246	DTU089 (0.002%)
UMGS86	DTU089 (0.199%)
UMGS1557	DTU089 (0.003%)
UMGS1224	CAG-557 (0.0%)
UMGS1750	DTU089 (0.0%)
UMGS1491	DTU089 (0.0%)
UMGS1703	DTU089 (0.0%)
UMGS403	CAG-964 (0.005%)
UMGS279	Ruminococcus_E (0.18%)
UMGS526	Ruminococcus_E (0.003%)
UMGS1846	Ruminococcus_E (0.013%)
UMGS456	Ruminococcus_E (0.004%)
UMGS38	Ruminococcus_E (0.003%)
UMGS364	DTU089 (0.001%)
UMGS286	DTU089 (0.001%)
UMGS231	DTU089 (0.002%)
UMGS991	Negativibacillus (0.074%)
UMGS942	Negativibacillus (0.003%)
UMGS1551	Angelakisella (0.036%)
UMGS1267	Angelakisella (0.049%)
UMGS979	Angelakisella (1.07%)
UMGS966	Ruminococcaceae (0.005%)
UMGS2012	Ruminococcaceae (0.083%)
UMGS1668	Ruminococcaceae (0.005%)
UMGS599	Ruminococcaceae (0.0%)
UMGS423	CAG-115 (0.013%)
UMGS1626	CAG-115 (0.003%)
UMGS108	Ruminiclostridium_E (0.002%)
UMGS159	Ruminiclostridium_E (0.003%)
UMGS1940	Ruminiclostridium_E (0.015%)
UMGS1327	Ruminococcaceae (0.001%)
UMGS1889	Ruminococcaceae (0.003%)
UMGS363	Ruminococcaceae (0.0%)
UMGS533	Ruminococcaceae (0.001%)
UMGS1886	Ruminococcaceae (0.002%)
UMGS1823	Ruminococcaceae (0.002%)
UMGS739	Ruminococcus (0.001%)
UMGS200	Ruminococcus (0.003%)
UMGS1870	Ruminococcus (0.003%)
UMGS1243	Ruminococcaceae (0.004%)
UMGS1903	Ruminococcus_C (0.009%)
UMGS761	Ruminococcus_C (0.011%)
UMGS1771	UBA1394 (0.004%)
UMGS40	UBA1394 (0.003%)
UMGS1413	HUN007 (0.001%)
UMGS2005	Ruminococcus_D (0.002%)
UMGS536	Ruminococcus_D (0.002%)
UMGS176	Ruminococcus_D (0.002%)
UMGS91	Ruminococcus_D (0.008%)
UMGS1601	Ruminococcaceae (0.002%)
UMGS771	Ruminococcaceae (0.002%)
UMGS1641	Ruminococcaceae (0.002%)
UMGS505	Ruminococcaceae (0.007%)
UMGS551	Ruminococcaceae (0.067%)
UMGS1556	Ruminococcaceae (0.007%)
UMGS1826	Ruminococcaceae (0.004%)
UMGS2067	Faecalibacterium (0.315%)
UMGS1738	Faecalibacterium (0.052%)
UMGS183	Faecalibacterium (0.3%)
UMGS184	Faecalibacterium (0.135%)
UMGS1756	Faecalibacterium (0.047%)
UMGS1404	Faecalibacterium (0.057%)
UMGS253	Faecalibacterium (0.018%)
UMGS1106	Faecalibacterium (0.004%)
UMGS795	Subdoligranulum (0.004%)
UMGS262	Subdoligranulum (0.054%)
UMGS280	Subdoligranulum (0.028%)
UMGS1692	Subdoligranulum (0.024%)
UMGS1999	Subdoligranulum (0.021%)
UMGS168	Subdoligranulum (0.031%)
UMGS1911	Subdoligranulum (0.016%)
UMGS179	Subdoligranulum (0.208%)
UMGS1087	Subdoligranulum (0.002%)
UMGS1108	Ruminococcaceae (0.006%)
UMGS544	Ruminococcaceae (0.002%)
UMGS504	Ruminococcaceae (0.021%)
UMGS1317	Ruthenibacterium (0.007%)
UMGS927	Ruthenibacterium (0.186%)
UMGS1328	UBA4224 (0.005%)
UMGS961	Butyricicoccus (0.002%)
UMGS351	Agathobaculum (0.075%)
UMGS682	Agathobaculum (0.006%)
UMGS2030	Agathobaculum (0.004%)
UMGS1825	Agathobaculum (0.004%)
UMGS1384	Butyricicoccaceae (0.004%)
UMGS1868	Butyricicoccaceae (0.005%)
UMGS1610	Butyricicoccaceae (0.009%)
UMGS1132	Butyricicoccaceae (0.031%)
UMGS1136	F23-B02 (0.002%)
UMGS815	F23-B02 (0.002%)
UMGS1941	F23-B02 (0.002%)
UMGS1024	F23-B02 (0.004%)
UMGS828	Oscillospiraceae (0.028%)
UMGS1192	Oscillospiraceae (0.002%)
UMGS975	Oscillospiraceae (0.006%)
UMGS887	Oscillospiraceae (0.012%)
UMGS1230	Oscillospiraceae (0.002%)
UMGS1175	Oscillospiraceae (0.125%)
UMGS1206	Oscillospiraceae (0.023%)
UMGS1216	Oscillospiraceae (0.001%)
UMGS597	CAG-103 (0.078%)
UMGS568	CAG-103 (0.035%)
UMGS2008	CAG-103 (0.051%)
UMGS596	CAG-103 (0.017%)
UMGS1758	CAG-103 (0.001%)
UMGS658	Oscillospiraceae (0.015%)
UMGS768	Oscillospiraceae (0.092%)
UMGS897	Oscillospiraceae (0.001%)
UMGS893	Oscillospiraceae (0.012%)
UMGS1461	Oscillospiraceae (0.001%)
UMGS1034	Oscillospiraceae (0.004%)
UMGS530	Oscillospiraceae (0.005%)
UMGS708	Oscillospiraceae (0.002%)
UMGS638	Oscillibacter (0.054%)
UMGS683	Oscillibacter (0.03%)
UMGS1325	Oscillibacter (0.033%)
UMGS426	Oscillibacter (0.02%)
UMGS1091	Oscillibacter (0.011%)
UMGS728	Oscillibacter (0.005%)
UMGS1987	Oscillibacter (0.006%)
UMGS1448	Oscillibacter (0.015%)
UMGS1717	Oscillibacter (0.006%)
UMGS906	Oscillibacter (0.004%)
UMGS1495	ER4 (0.07%)
UMGS245	ER4 (0.04%)
UMGS1455	ER4 (0.042%)
UMGS1263	ER4 (0.06%)
UMGS1904	ER4 (0.028%)
UMGS870	ER4 (0.015%)
UMGS858	CAG-83 (0.099%)
UMGS1457	CAG-83 (0.133%)
UMGS1702	CAG-83 (0.019%)
UMGS1893	CAG-83 (0.072%)
UMGS1012	CAG-83 (0.057%)
UMGS785	CAG-83 (0.061%)
UMGS1392	CAG-83 (0.012%)
UMGS1315	CAG-83 (0.044%)
UMGS792	CAG-83 (0.087%)
UMGS1099	CAG-83 (0.027%)
UMGS1541	CAG-83 (0.062%)
UMGS1859	CAG-83 (0.024%)
UMGS1187	CAG-83 (0.035%)
UMGS1313	CAG-83 (0.002%)
UMGS918	CAG-83 (0.031%)
UMGS1245	CAG-83 (0.003%)
UMGS1515	CAG-83 (0.007%)
UMGS1188	Oscillospiraceae (0.035%)
UMGS1872	Oscillospiraceae (0.019%)
UMGS730	CAG-110 (0.183%)
UMGS930	CAG-110 (0.0%)
UMGS838	CAG-110 (0.035%)
UMGS1730	CAG-110 (0.024%)
UMGS729	CAG-110 (0.007%)
UMGS1651	CAG-110 (0.002%)
UMGS273	CAG-110 (0.01%)
UMGS977	CAG-110 (0.008%)
UMGS1981	CAG-110 (0.007%)
UMGS1211	CAG-110 (0.01%)
UMGS1193	CAG-110 (0.003%)
UMGS670	CAG-110 (0.014%)
UMGS710	Oscillospiraceae (0.002%)
UMGS1744	Oscillospiraceae (0.004%)
UMGS883	Oscillospiraceae (0.004%)
UMGS1408	Oscillospiraceae (0.01%)
UMGS700	Oscillospiraceae (0.007%)
UMGS1116	Oscillospiraceae (0.001%)
UMGS1113	CAG-170 (0.021%)
UMGS830	CAG-170 (0.027%)
UMGS1953	CAG-170 (0.132%)
UMGS947	CAG-170 (0.272%)
UMGS1215	Oscillospiraceae (0.011%)
UMGS1054	Oscillospiraceae (0.011%)
UMGS1621	Oscillospiraceae (0.002%)
UMGS1850	Oscillospiraceae (0.005%)
UMGS818	NK3B98 (0.091%)
UMGS1766	Oscillospiraceae (0.017%)
UMGS1115	Ruminiclostridium_C (0.199%)
UMGS861	Ruminiclostridium_C (0.002%)
UMGS1178	Clostridium_AJ (0.004%)
UMGS1323	Clostridium_AJ (0.005%)
UMGS1583	Clostridium_AJ (0.004%)
UMGS834	Clostridium_AJ (0.011%)
UMGS1232	UBA9475 (0.008%)
UMGS1685	UBA9475 (0.004%)
UMGS1202	Flavonifractor (0.003%)
UMGS1226	Flavonifractor (0.018%)
